Date,Dividends
2014-03-03,0.119000
2014-02-03,0.115000
2013-12-24,0.298000
2013-11-29,0.119000
2013-10-31,0.122000
2013-09-30,0.120000
2013-08-30,0.115000
2013-07-31,0.122000
2013-06-28,0.119000
2013-05-31,0.122000
2013-04-30,0.115000
2013-03-28,0.136000
2013-02-28,0.121000
2013-01-31,0.128000
2012-12-24,0.249000
2012-11-30,0.132000
2012-11-02,0.136000
2012-09-28,0.139000
2012-08-31,0.145000
2012-07-31,0.151000
2012-06-29,0.148000
2012-05-31,0.152000
2012-04-30,0.144000
2012-03-30,0.153000
2012-02-29,0.143000
2012-01-31,0.146000
2011-12-23,0.248000
2011-11-30,0.149000
2011-10-31,0.153000
2011-09-30,0.149000
2011-08-31,0.147000
2011-07-29,0.157000
2011-06-30,0.149000
2011-05-31,0.154000
2011-04-29,0.141000
2011-03-31,0.167000
2011-02-28,0.135000
2011-01-31,0.144000
2010-12-27,0.226000
2010-11-30,0.148000
2010-10-29,0.156000
2010-09-30,0.154000
2010-08-31,0.152000
2010-07-30,0.161000
2010-06-30,0.142000
2010-05-28,0.159000
2010-04-30,0.132000
2010-02-26,0.127000
2010-01-29,0.127000
